timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-01-06 00:00:00,Bainbridge,Colman,00:00.0,59:44.0,26:35.0,27.0,3584.0
2013-01-06 00:05:00,Bainbridge,Colman,,,,,3375.6470588235293
2013-01-06 00:10:00,Bainbridge,Colman,,,,,3167.2941176470586
2013-01-06 00:15:00,Bainbridge,Colman,,,,,2958.9411764705883
2013-01-06 00:20:00,Bainbridge,Colman,,,,,2750.5882352941176
2013-01-06 00:25:00,Bainbridge,Colman,,,,,2542.2352941176473
2013-01-06 00:30:00,Bainbridge,Colman,,,,,2333.882352941177
2013-01-06 00:35:00,Bainbridge,Colman,,,,,2125.5294117647063
2013-01-06 00:40:00,Bainbridge,Colman,,,,,1917.1764705882354
2013-01-06 00:45:00,Bainbridge,Colman,,,,,1708.8235294117649
2013-01-06 00:50:00,Bainbridge,Colman,,,,,1500.470588235294
2013-01-06 00:55:00,Bainbridge,Colman,,,,,1292.1176470588236
2013-01-06 01:00:00,Bainbridge,Colman,,,,,1083.7647058823532
2013-01-06 01:05:00,Bainbridge,Colman,,,,,875.4117647058824
2013-01-06 01:10:00,Bainbridge,Colman,,,,,667.0588235294118
2013-01-06 01:15:00,Bainbridge,Colman,,,,,458.70588235294144
2013-01-06 01:20:00,Bainbridge,Colman,,,,,250.35294117647072
2013-01-06 01:25:00,Bainbridge,Colman,25:00.0,25:42.0,56:10.0,31.0,42.0
2013-01-06 01:30:00,Bainbridge,Colman,,,,,41.106382978723396
2013-01-06 01:35:00,Bainbridge,Colman,,,,,40.21276595744681
2013-01-06 01:40:00,Bainbridge,Colman,,,,,39.31914893617022
2013-01-06 01:45:00,Bainbridge,Colman,,,,,38.42553191489362
2013-01-06 01:50:00,Bainbridge,Colman,,,,,37.53191489361703
2013-01-06 01:55:00,Bainbridge,Colman,,,,,36.63829787234041
2013-01-06 02:00:00,Bainbridge,Colman,,,,,35.744680851063826
2013-01-06 02:05:00,Bainbridge,Colman,,,,,34.85106382978724
2013-01-06 02:10:00,Bainbridge,Colman,,,,,33.95744680851064
