timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-01-01 00:55:00,Bainbridge,Colman,55:00.0,05:56.0,37:37.0,32.0,656.0
2013-01-01 04:45:00,Bainbridge,,45:00.0,,,,
2013-01-01 05:20:00,Bainbridge,Colman,20:00.0,19:01.0,49:40.0,30.0,-59.0
2013-01-01 06:20:00,Bainbridge,,20:00.0,,,,
2013-01-01 07:05:00,Bainbridge,,05:00.0,06:16.0,,,76.0
2013-01-01 07:55:00,Bainbridge,Colman,55:00.0,55:49.0,26:57.0,31.0,49.0
2013-01-01 08:45:00,Bainbridge,Colman,45:00.0,35:19.0,07:48.0,32.0,3019.0
2013-01-01 09:40:00,Bainbridge,Colman,40:00.0,40:00.0,17:09.0,-23.0,0.0
2013-01-01 10:25:00,Bainbridge,,25:00.0,,,,
2013-01-01 11:30:00,Bainbridge,Colman,30:00.0,30:00.0,57:19.0,-33.0,0.0
2013-01-01 12:20:00,Bainbridge,Colman,20:00.0,30:32.0,00:13.0,30.0,632.0
2013-01-01 13:10:00,Bainbridge,Colman,10:00.0,10:00.0,49:58.0,-21.0,0.0
2013-01-01 14:05:00,Bainbridge,Colman,05:00.0,05:00.0,44:49.0,-21.0,0.0
2013-01-01 14:55:00,Bainbridge,Colman,55:00.0,06:21.0,37:52.0,31.0,681.0
2013-01-01 15:50:00,Bainbridge,Colman,50:00.0,57:42.0,27:03.0,30.0,462.0
2013-01-01 16:35:00,Bainbridge,Colman,35:00.0,52:51.0,23:20.0,31.0,1071.0
2013-01-01 17:30:00,Bainbridge,Colman,30:00.0,30:00.0,04:23.0,-26.0,0.0
2013-01-01 18:30:00,Bainbridge,Colman,30:00.0,30:00.0,01:00.0,-29.0,0.0
2013-01-01 19:10:00,Bainbridge,Colman,10:00.0,10:00.0,59:39.0,-11.0,0.0
2013-01-01 20:10:00,Bainbridge,Colman,10:00.0,11:11.0,42:29.0,31.0,71.0
2013-01-01 20:55:00,Bainbridge,Colman,55:00.0,55:00.0,39:40.0,-16.0,0.0
2013-01-01 21:45:00,Bainbridge,Colman,45:00.0,55:27.0,27:28.0,32.0,627.0
2013-01-01 22:35:00,Bainbridge,Colman,35:00.0,35:00.0,02:46.0,-33.0,0.0
2013-01-02 00:55:00,Bainbridge,Colman,55:00.0,55:00.0,31:36.0,-24.0,0.0
2013-01-02 04:45:00,Bainbridge,Colman,45:00.0,45:00.0,17:26.0,32.0,0.0
2013-01-02 05:20:00,Bainbridge,Colman,20:00.0,20:36.0,51:54.0,31.0,36.0
2013-01-02 06:20:00,Bainbridge,Colman,20:00.0,22:37.0,52:28.0,30.0,157.0
2013-01-02 07:05:00,Bainbridge,Colman,05:00.0,05:50.0,36:03.0,31.0,50.0
2013-01-02 07:55:00,Bainbridge,Colman,55:00.0,01:48.0,32:05.0,31.0,408.0
2013-01-02 08:45:00,Bainbridge,Colman,45:00.0,46:05.0,16:47.0,30.0,65.0
