weekday,holiday_saturday,sunday
00:55:00,00:55:00,00:55:00
04:45:00,05:20:00,05:20:00
05:20:00,07:05:00,07:05:00
06:20:00,07:55:00,07:55:00
07:05:00,08:45:00,08:45:00
07:55:00,09:35:00,09:35:00
08:45:00,10:25:00,10:25:00
09:40:00,11:30:00,11:30:00
10:25:00,12:20:00,12:20:00
11:30:00,13:10:00,13:10:00
12:20:00,14:05:00,14:05:00
13:10:00,14:55:00,14:55:00
14:05:00,15:50:00,15:50:00
14:55:00,16:35:00,16:35:00
15:50:00,17:30:00,17:30:00
16:35:00,18:30:00,18:30:00
17:30:00,19:10:00,19:10:00
18:30:00,20:10:00,20:10:00
19:10:00,20:55:00,20:55:00
20:10:00,21:45:00,21:45:00
20:55:00,22:30:00,22:30:00
21:45:00,,
22:35:00,,
